Date,Price,Open,High,Low,Volume,Chg%
"Feb 11, 2022",23.369,23.205,23.71,22.855,77.04K,-0.65%
"Feb 10, 2022",23.522,23.31,23.735,23.145,77.91K,0.78%
"Feb 09, 2022",23.341,23.195,23.365,23.095,52.98K,0.61%
"Feb 08, 2022",23.2,23.025,23.265,22.77,52.51K,0.54%
"Feb 07, 2022",23.076,22.535,23.11,22.5,58.94K,2.67%
"Feb 04, 2022",22.475,22.42,22.69,22.1,47.76K,0.45%
"Feb 03, 2022",22.375,22.65,22.66,21.985,55.03K,-1.46%
"Feb 02, 2022",22.707,22.64,22.875,22.465,38.34K,0.50%
"Feb 01, 2022",22.595,22.49,23.06,22.405,48.40K,0.90%
"Jan 31, 2022",22.393,22.475,22.655,22.25,38.42K,0.41%
"Jan 28, 2022",22.301,22.79,22.83,22.15,63.81K,-1.65%
"Jan 27, 2022",22.676,23.565,23.625,22.585,82.12K,-4.75%
"Jan 26, 2022",23.807,23.85,24.025,23.46,55.62K,-0.37%
"Jan 25, 2022",23.896,24.045,24.045,23.635,53.18K,0.40%
"Jan 24, 2022",23.8,24.305,24.36,23.595,72.35K,-2.14%
"Jan 21, 2022",24.32,24.525,24.64,24.205,62.05K,-1.60%
"Jan 20, 2022",24.716,24.185,24.755,24.125,75.61K,2.00%
"Jan 19, 2022",24.231,23.505,24.265,23.43,73.90K,3.15%
"Jan 17, 2022",23.492,22.995,23.68,22.82,105.83K,2.50%
"Jan 14, 2022",22.918,23.115,23.345,22.845,50.67K,-1.05%
"Jan 13, 2022",23.162,23.19,23.315,23.025,53.38K,-0.19%
"Jan 12, 2022",23.207,22.82,23.26,22.68,55.76K,1.73%
"Jan 11, 2022",22.812,22.5,22.86,22.48,48.87K,1.56%
"Jan 10, 2022",22.462,22.385,22.54,22.205,44.53K,0.24%
"Jan 07, 2022",22.409,22.195,22.46,21.945,57.76K,0.99%
"Jan 06, 2022",22.19,22.81,22.85,22,73.89K,-4.23%
"Jan 05, 2022",23.17,23.095,23.3,22.75,41.19K,0.49%
"Jan 04, 2022",23.056,22.92,23.14,22.655,44.91K,1.08%
"Jan 03, 2022",22.81,23.385,23.44,22.69,46.32K,-2.32%
"Dec 31, 2021",23.352,23.095,23.39,23.07,30.39K,1.27%
"Dec 30, 2021",23.06,22.87,23.155,22.63,30.54K,0.88%
"Dec 29, 2021",22.858,23.05,23.185,22.6,40.03K,-1.14%
"Dec 28, 2021",23.121,23.105,23.48,23.005,42.75K,0.57%
"Dec 27, 2021",22.989,22.9,23.15,22.655,39.29K,0.21%
"Dec 23, 2021",22.94,22.815,22.965,22.68,33.91K,0.53%
"Dec 22, 2021",22.819,22.525,22.86,22.44,35.70K,1.29%
"Dec 21, 2021",22.529,22.29,22.805,22.185,45.67K,1.07%
"Dec 20, 2021",22.291,22.39,22.435,22.19,35.06K,-1.07%
"Dec 17, 2021",22.533,22.53,22.69,22.355,39.31K,0.21%
"Dec 16, 2021",22.485,22.07,22.56,21.93,56.37K,4.36%
"Dec 15, 2021",21.545,21.945,22.13,21.41,65.04K,-1.73%
"Dec 14, 2021",21.924,22.35,22.355,21.67,52.45K,-1.81%
"Dec 13, 2021",22.328,22.195,22.43,22.16,31.88K,0.60%
"Dec 10, 2021",22.195,21.975,22.24,21.815,43.90K,0.83%
"Dec 09, 2021",22.013,22.435,22.475,21.84,58.89K,-1.87%
"Dec 08, 2021",22.432,22.525,22.58,22.305,28.91K,-0.40%
"Dec 07, 2021",22.523,22.395,22.625,22.23,38.83K,1.17%
"Dec 06, 2021",22.263,22.61,22.635,22.125,41.15K,-0.97%
"Dec 03, 2021",22.481,22.41,22.59,22.035,54.13K,0.74%
"Dec 02, 2021",22.316,22.335,22.505,22.215,45.19K,-0.10%
"Dec 01, 2021",22.339,22.875,23.06,22.185,65.42K,-2.09%
"Nov 30, 2021",22.815,22.93,23.355,22.705,68.03K,-0.16%
